CNPA,NOMBRE DEL PRODUCTO,MERCADO,Prom. del sáb 25 al vie 31,Prom. del sáb 1 al vie 7,Var. (%),jul vie-31,ago sáb-1,ago dom-2,ago lun-3,ago mar-4,ago mié-5,ago jue-6,ago vie-7,Var % Hoy/ayer
01330,UVA BORGOÑA,MMF2,,4.64,-0.2,4.58,4.63,4.60,4.65,4.68,4.63,4.63,4.65,0.4
01330,UVA ITALIA /AMERICANA-NACIONAL,MMF2,,4.63,-1.2,4.65,4.65,4.65,4.65,4.63,4.55,4.63,4.65,0.4
01330,UVA PALESTINA,MMF2,,4.41,2.0,4.35,4.35,4.35,4.38,4.43,4.45,4.45,4.43,-0.4
01330,UVA RED GLOVE NACIONAL,MMF2,,4.73,0.3,4.80,4.80,4.80,4.85,4.78,4.58,4.63,4.65,0.4
01330,UVA ROSADA SIN PEPA,MMF2,,4.86,0.7,4.85,4.85,4.85,4.88,4.85,4.85,4.85,4.88,0.6
0134,Frutas de pepita y frutas de hueso,,,,,,,,,,,,,
01341,MANZANA CTE/PARA AGUA,GMML,,3.51,-5.2,3.55,3.58,3.58,3.63,3.30,3.43,3.33,3.75,12.6
01341,MANZANA CTE/PARA AGUA,MMF2,,2.69,0.5,2.71,2.71,2.71,2.68,2.70,2.70,2.69,2.66,-1.1
01341,MANZANA DELICIA,MMF2,,3.25,-0.2,3.29,3.31,3.31,3.29,3.26,3.26,3.19,3.15,-1.3
01341,MANZANA GOLDEN,MMF2,,4.56,4.1,4.38,4.38,4.40,4.53,4.55,4.65,4.65,4.73,1.7
01341,MANZANA IMPORTADA (CHILENA),MMF2,,7.61,-2.7,7.70,7.75,7.75,7.66,7.68,7.44,7.50,7.46,-0.5
01341,MANZANA ISRAEL,MMF2,,4.64,-2.0,4.75,4.75,4.75,4.60,4.60,4.58,4.60,4.63,0.7
01341,MANZANA WINTER,MMF2,,2.99,-0.1,2.98,2.98,2.98,3.01,2.98,2.98,2.99,3.01,0.7
01342,MEMBRILLO CRIOLLO,MMF2,,4.99,1.6,4.93,4.95,4.95,4.93,4.93,5.00,5.08,5.08,0.0
01342,MEMBRILLO SERRANO,MMF2,,3.78,3.2,3.72,3.77,3.77,3.75,3.77,3.81,3.81,3.78,-0.8
01342,PERA AGUA ITALIANA,MMF2,,4.63,3.5,4.50,4.52,4.50,4.54,4.60,4.75,4.73,4.77,0.8
01342,PERA AGUA PACKAM IMPORTADO,MMF2,,6.64,0.9,6.44,6.60,6.63,6.60,6.68,6.66,6.60,6.74,2.1
01343,ALBARICOQUE,MMF2,,4.25,-0.9,4.35,4.33,4.25,4.20,4.20,4.35,4.20,4.20,0.0
01345,MELOCOTON BLANQUILLO,MMF2,,5.63,5.5,5.63,5.54,5.54,5.69,5.69,5.71,5.63,5.63,0.0
01345,MELOCOTON DURAZNO HUAYCO,MMF2,,6.25,7.0,6.25,6.31,6.31,6.25,6.17,6.29,6.25,6.19,-1.0
01346,CIRUELA SANTA ROSA/NACIONAL,MMF2,,5.07,-5.1,5.20,5.25,5.25,5.35,5.35,4.85,4.68,4.75,1.5
01349,LUCUMA DE SEDA (COSTA/SELVA),MMF2,,6.46,-1.5,6.33,6.38,6.40,6.53,6.45,6.43,6.63,6.38,-3.8
0135,Bayas y otras frutas,,,,,,,,,,,,,
01352,KIWI IMPORTADO CHILENO,MMF2,,9.00,-5.0,9.37,9.13,9.17,9.10,9.10,8.88,8.80,8.80,0.0
01354,FRESA SAN ANDREAS,MMF2,,4.70,-3.9,4.95,4.78,4.78,4.83,4.75,4.58,4.58,4.58,0.0
01359,GRANADA (COSTA),MMF2,,5.28,2.6,5.22,5.20,5.16,5.17,5.23,5.31,5.44,5.47,0.6
01359,MAMEY (COSTA),MMF2,,4.73,-1.3,4.75,4.75,4.75,4.65,4.65,4.75,4.75,4.83,1.7
01359,PACAE CRIOLLO,MMF2,,6.59,3.8,6.48,6.48,6.50,6.55,6.55,6.65,6.65,6.75,1.5
01359,TAMARINDO (CON CASCARA) COSTA,MMF2,,6.65,1.1,6.75,6.77,6.75,6.75,6.75,6.50,6.50,6.50,0.0
01359,TAMARINDO (SIN CASCARA) COSTA,MMF2,,7.89,-1.4,8.00,8.00,8.00,7.95,7.75,7.75,7.75,8.00,3.2
01359,TUNA AMARILLA,MMF2,,4.26,1.2,4.33,4.33,4.30,4.15,4.15,4.20,4.33,4.33,0.0
01359,TUNA BLANCA (COSTA / SIERRA),MMF2,,4.82,-1.6,4.93,4.93,4.90,4.75,4.75,4.75,4.83,4.85,0.4
01359,TUNA MORADA/ROSADA,MMF2,,3.99,2.1,4.00,4.00,4.00,3.93,3.93,3.90,4.10,4.10,0.0
014,SEMILLAS ACEITERAS Y FRUTOS OLEAGINOSOS,,,,,,,,,,,,,
01460,COCO (COSTA /SELVA),MMF2,,2.13,-0.1,2.10,2.13,2.17,2.13,2.13,2.10,2.10,2.13,1.4
015,RAÍCES Y TUBÉRCULOS COMESTIBLES,,,,,,,,,,,,,
0151,Papas,,,,,,,,,,,,,
01510,PAPA AMARILLA/TUMBAY/TORNILLO/OTROS,GMML,,2.22,2.4,2.20,2.23,2.23,2.20,2.30,2.33,2.13,2.13,0.0
01510,PAPA BLANCA/VALLE/OTROS,GMML,,1.01,-1.3,1.01,1.03,1.03,1.03,1.03,0.99,0.93,1.00,7.5
01510,PAPA CANCHAN,GMML,,1.10,-1.8,1.10,1.08,1.08,1.13,1.08,1.08,1.10,1.13,2.7
01510,PAPA COLOR/VALLE/OTROS,GMML,,1.19,-1.9,1.19,1.19,1.19,1.18,1.20,1.19,1.19,1.22,2.5
01510,PAPA HUAMANTANGA,GMML,,1.59,-2.9,1.63,1.61,1.61,1.53,1.60,1.63,1.53,1.60,4.6
01510,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,GMML,,1.53,-0.1,1.54,1.50,1.50,1.53,1.51,1.51,1.63,1.53,-6.1
01510,PAPA NEGRA ANDINA,GMML,,1.01,-2.9,0.99,1.00,1.00,1.03,0.99,0.98,1.05,1.00,-4.8
01510,PAPA PERUANITA,GMML,,1.71,2.2,1.73,1.73,1.73,1.73,1.70,1.71,1.68,1.68,0.0
01510,PAPA ÚNICA,GMML,,1.29,-2.2,1.28,1.30,1.30,1.23,1.33,1.30,1.28,1.31,2.3
01510,PAPA YUNGAY,GMML,,1.01,-1.3,1.01,1.03,1.03,1.03,1.03,0.99,0.93,1.00,7.5
0152,Yuca,,,,,,,,,,,,,
01520,YUCA AMARILLA/LEGITIM/INJERTA(COS/SEL),GMML,,1.88,-0.2,1.90,1.93,1.93,1.88,1.88,1.88,1.83,1.83,0.0
0153,Camote,,,,,,,,,,,,,
01530,CAMOTE AMARILLO,GMML,,1.30,-3.7,1.38,1.33,1.33,1.35,1.33,1.33,1.28,1.15,-10.2
01530,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,GMML,,2.53,-9.1,2.75,2.80,2.80,2.78,2.55,2.43,2.43,1.90,-21.8
0159,Otras raíces y tubérculos comestibles,,,,,,,,,,,,,
01599,OLLUCO LARGO (SIN LAVAR/LAVADO),GMML,,3.02,6.6,2.78,2.83,2.83,2.83,3.00,3.08,3.30,3.25,-1.5
01599,YACON (LLACON),MMF2,,3.63,-3.0,3.75,3.73,3.70,3.65,3.65,3.55,3.58,3.58,0.0
016,"ESTIMULANTES, ESPECIAS Y AROMÁTICOS",,,,,,,,,,,,,
01652,AJI PAPRIKA,GMML,,16.14,3.3,15.75,15.75,15.75,16.25,16.25,16.25,16.38,16.38,0.0
01652,AJI SECO PANCA,GMML,,17.63,1.4,17.50,17.50,17.50,17.63,17.63,17.63,17.75,17.75,0.0
01654,CULANTRO (CRIOLLO/SERRANO),GMML,,2.01,8.9,2.33,2.33,2.33,2.25,2.00,1.75,1.75,1.67,-4.6
01657,KION (COSTA/SELVA),GMML,,3.24,0.9,3.25,3.25,3.25,3.25,3.23,3.23,3.25,3.25,0.0
01699,ALBAHACA (CRIOLLA/SERRANA),GMML,,3.34,-18.5,3.46,3.38,3.38,3.28,3.28,3.28,3.38,3.38,0.0
0193,"Plantas o partes de plantas del tipo utilizado principalmente en perfumería, en farmacia o para la preparación de insecticidas, fungicidas o propósitos similares",,,,,,,,,,,,,
01930,HIERBA BUENA (CRIOLLA/SERRANA),GMML,,2.76,5.5,2.65,2.80,2.80,2.71,2.71,2.74,2.74,2.80,2.2
